name,neo,pha,epoch_cal,equinox,e,a,q,i,w,H,ma,ad,n,moid,t_jup,om,per,per_y,class,producer,first_obs,last_obs,diameter,albedo
Baboquivari,Y,N,20200531.0000000,J2000,.5309192968257989,2.644147629130174,1.240318629168779,11.01363516064284,192.4325711655029,16.0,44.3304188863786,4.047976629091569,.2292321486125132,.248663,3.154,200.6943281983085,1570.460348511293,4.2996861013314,AMO,"Otto Matic",1963-10-16,2020-02-26,,
Anza,Y,N,20200531.0000000,J2000,.5357481024164638,2.264330203985893,1.051219593956166,3.799037383541872,157.0250621882905,16.4,180.5486415640038,3.477440814015619,.2892640312889777,.0560308,3.410,207.3796041985792,1244.537726988795,3.40735859545187,AMO,"Otto Matic",1960-10-22,2020-02-17,2.6,
Aten,Y,N,20111231.0000000,J2000,.1827171340905242,.9667898316324987,.790140764328748,18.93368681084476,148.0354055966093,17.1,172.267762763347,1.143438898936249,1.036826199677172,.113146,6.184,108.6003764318441,347.2134482250642,0.950618612525843,ATE,Giorgini,1955-12-17,2015-02-06,1.1,0.26
Bacchus,Y,N,20200531.0000000,J2000,.3495079288087141,1.078099128589279,.7012949351055603,9.431132064706487,55.36126235349508,17.3,273.7344509928871,1.454903322072997,.8804729770218772,.0670798,5.668,33.08306674761002,408.8711515232057,1.11942820403342,APO,"Otto Matic",1977-04-24,2016-05-31,,
Ra-Shalom,Y,N,20200531.0000000,J2000,.4365426452964736,.8320476102774403,.4688233454743172,15.75298268302562,356.0511815302709,16.3,171.7620955932018,1.195271875080564,1.298619163812463,.150184,6.946,170.8036968054292,277.2175323080235,0.758980239036341,ATE,"Otto Matic",1975-10-03,2019-11-27,2.3,0.13
Adonis,Y,Y,20200531.0000000,J2000,.763997171408006,1.874841307219286,.442467851664863,1.322476326023118,43.6083126078566,18.8,336.1572928434771,3.307214762773709,.3839346454089198,.0115889,3.550,349.4861473994169,937.6595842674537,2.56717203084861,APO,"Otto Matic",1936-02-12,2018-04-11,0.6,
Tantalus,Y,Y,20200531.0000000,J2000,.2991482324759187,1.290150777582504,.9042044528412657,64.00699343390554,61.54106238235283,16.0,81.98646885186434,1.676097102323742,.6725791053329576,.0434654,4.450,94.36249230981772,535.2530239870944,1.4654429130379,APO,"Otto Matic",1975-12-30,2020-03-09,1.649,0.245
Aristaeus,Y,Y,20200531.0000000,J2000,.5030136617821045,1.599967126006199,.795161803222831,23.05815456689635,290.9094337662466,17.94,142.9273611413273,2.404772448789567,.4870095580172899,.00987554,4.134,191.1800911267857,739.2052046486102,2.02383355139934,APO,"Otto Matic",1977-04-17,2018-06-09,,
Oljato,Y,Y,20200531.0000000,J2000,.7128855212674332,2.174083942076455,.6242109777501252,2.522429202495983,98.24724876350736,15.3,203.1157336122513,3.723956906402784,.3074606998599317,.00312534,3.299,74.98703322352544,1170.881352198845,3.20569843175591,APO,"Otto Matic",1931-12-03,2019-11-26,1.80,0.4328
Pele,Y,N,20200531.0000000,J2000,.5126979851228336,2.290252274948124,1.116044548159235,8.742254785198798,217.9079063942871,17.1,261.1584813076683,3.464460001737014,.2843669297907144,.144166,3.398,169.9571385232429,1265.969992590029,3.46603694069823,AMO,"Otto Matic",1972-09-07,2018-02-12,,
Hephaistos,Y,N,20200531.0000000,J2000,.8376667029769949,2.159195571056765,.350509335967115,11.55177461309936,209.3949295673669,13.3,48.90011335622312,3.967881806146414,.3106462410326158,.115888,3.099,27.53026120798623,1158.874476650121,3.17282539808384,APO,"Otto Matic",1978-09-27,2019-11-25,5.7,0.163
Orthos,Y,N,20200531.0000000,J2000,.6540343067324031,2.409261624361422,.833521868135216,24.47085271105851,146.0398921033527,14.5,264.3572359444884,3.985001380587629,.2635591688405006,.094385,3.097,169.275926233865,1365.91719265082,3.73967746105632,APO,"Otto Matic",1976-05-31,2020-03-03,,
