full_name,name,neo,pha,epoch_cal,equinox,e,a,q,i,w,H,ma,ad,n,moid,t_jup,om,per,per_y,class,producer,first_obs,last_obs,diameter,albedo
"409266 (2004 RK9)",,Y,N,20200531.0000000,J2000,.4259299237087897,1.836305155520294,1.054167840723478,6.226707064948084,284.2917175186943,21.2,139.7741170273846,2.61844247031711,.3960835388684812,.109881,3.902,354.80092210,908.8991706861549,2.4884303098868,AMO,"Otto Matic",2004-09-07,2019-10-09,,
"409342 (2004 XM35)",,Y,N,20200531.0000000,J2000,.3013226486783261,1.836783265176321,1.283318866665368,5.358241148968249,322.9709964041501,19.8,69.10358536974147,2.390247663687274,.3959288997411792,.305636,3.961,119.0694469467529,909.2541621370249,2.48940222350999,AMO,"Otto Matic",2004-11-12,2020-02-21,,
"409718 (2006 BV225)",,N,N,20200531.0000000,J2000,.1536758700437433,5.211500710866264,4.410618804890304,10.08075602169511,334.4607199488319,14.0,84.56739326734618,6.012382616842223,.08284377336205984,3.4279,2.946,160.2348377346729,4345.528763237988,11.8974093449363,TJN,"Otto Matic",2003-11-23,2019-05-08,,
"409720 (2006 BK255)",,N,N,20200531.0000000,J2000,.05602551349541735,5.259146304182416,4.96449993194307,20.06776126421584,106.1848212451171,13.2,324.6826804679951,5.553792676421763,.08172053383384029,4.01304,2.875,150.2409949117458,4405.257566378315,12.0609378956285,TJN,"Otto Matic",2006-01-31,2019-04-24,,
"409836 (2006 QY110)",,Y,Y,20200531.0000000,J2000,.5743699848053511,1.924000246437875,.8189122541258611,6.405549942669649,221.6209521613712,18.0,31.04040692045771,3.029088238749889,.3693145252381877,.0318215,3.694,222.6581476578799,974.7788819511491,2.6687991292297,APO,"Otto Matic",2006-08-30,2019-07-29,0.554,0.331
"409934 (2006 UG64)",,Y,N,20200531.0000000,J2000,.3697860651124327,1.897793098181694,1.196015656007552,20.97619341249081,202.9063548571496,18.4,80.50737390546264,2.599570540355835,.3769908240212742,.205543,3.790,152.4414445277887,954.9304042999322,2.61445695906895,AMO,"Otto Matic",2006-10-23,2019-07-09,,
"410088 (2007 EJ)",,Y,N,20200531.0000000,J2000,.6298017648421146,2.499345425325933,.9252532655055948,8.330190406818621,3.630433091663678,18.1,137.5896422992543,4.073437585146271,.2494391684932817,.0581771,3.147,61.77086402128754,1443.237652589017,3.95136934315953,APO,"Otto Matic",2007-03-09,2019-04-08,1.032,0.095
"410195 (2007 RT147)",,Y,N,20200531.0000000,J2000,.4681448796928536,2.292475893183876,1.219265041970543,3.835282789450803,345.1024095956302,18.3,203.990283357201,3.365686744397208,.2839532917661359,.236179,3.440,99.15501639860678,1267.814145632431,3.47108595655696,AMO,"Otto Matic",2007-09-11,2019-05-07,,
"410622 (2008 QF)",,Y,N,20200531.0000000,J2000,.3773335683759718,2.077427265775271,1.29354422253875,3.784070100733059,136.3885320234758,21.5,334.4120475885337,2.861310309011793,.3291662750468963,.287385,3.672,192.5882324378298,1093.672187251597,2.99431125873127,AMO,"Otto Matic",2002-07-28,2017-10-17,,
"410627 (2008 RG1)",,Y,Y,20200531.0000000,J2000,.4428124656553604,1.315745730212469,.7331171192415732,13.09249684066036,257.3827838414928,20.7,334.4058361383199,1.898374341183366,.6530495279770823,.013755,4.833,347.8337449424993,551.2598732214896,1.5092672778138,APO,"Otto Matic",2008-09-04,2017-10-17,,
"410649 (2008 SO)",,Y,N,20200531.0000000,J2000,.2336700687018067,1.331060530905046,1.020031525202201,7.138336074848302,72.06553918581292,20.8,295.4402756109517,1.642089536607892,.6418113089367017,.089991,4.885,191.0519417079499,560.9125220875545,1.53569479010966,AMO,"Otto Matic",2008-09-21,2014-02-05,,
"410650 (2008 SQ1)",,Y,N,20200531.0000000,J2000,.5836437190816823,2.954114340592903,1.22996406025673,6.714787883952569,151.0108855099885,18.5,94.67036819573009,4.678264620929077,.1941167996196695,.250543,2.977,269.869539625581,1854.553550776353,5.07749089877167,AMO,"Otto Matic",2004-01-18,2019-01-23,,
"410777 (2009 FD)",,Y,N,20200531.0000000,J2000,.4930307349965132,1.16384462283438,.590033453016606,3.127749306498464,281.4803343245738,22.1,280.607713729807,1.737655792652155,.7849853781896937,.00217223,5.293,9.340154973556711,458.6072683674944,1.25559827068445,APO,"Davide Farnocchia",2009-02-24,2019-04-15,0.472,0.01
"410778 (2009 FG19)",,Y,Y,20200531.0000000,J2000,.7199785397856548,2.910226598563188,.8149259016842908,54.49540341729215,120.3601199856739,18.0,60.04197318121196,5.005527295442086,.1985243877497733,.0234478,2.391,187.57224915,1813.379222978669,4.96476173300115,APO,"Otto Matic",2009-03-21,2019-09-30,1.457,0.048
"410832 (2009 QO8)",,Y,N,20200531.0000000,J2000,.3420117031499693,1.882052832674686,1.238368737953393,33.00013793874079,256.9764610793451,19.1,111.3779666343317,2.52573692739598,.3817300575978442,.460966,3.713,341.7481465621277,943.0748059647506,2.58199809983505,AMO,"Otto Matic",2009-08-18,2019-02-09,,
"411165 (2010 DF1)",,Y,Y,20200531.0000000,J2000,.502997883447742,1.5983128473087,.7943648680250897,20.07786464878992,101.791706151481,21.8,345.2922659789172,2.402260826592309,.4877658473454453,.0437254,4.155,154.8818590844176,738.0590542761822,2.02069556270002,APO,"Otto Matic",2010-02-17,2014-09-15,0.159,0.121
"411201 (2010 LJ14)",,Y,N,20200531.0000000,J2000,.3421227834646823,1.626073524350208,1.069756724081289,12.02956203596251,295.3038875262385,17.8,39.19025101174133,2.182390324619127,.4753284464750965,.171936,4.227,177.4132859131657,757.3710403188782,2.0735688988881,AMO,"Otto Matic",2010-03-02,2020-03-05,0.658,0.310
"411280 (2010 SL13)",,Y,N,20200531.0000000,J2000,.4154194478454866,2.004300963816472,1.171675364111656,3.041101436518737,266.550488660194,19.3,94.34411556026605,2.836926563521288,.3473438957300559,.196931,3.724,196.1145077518228,1036.436812120573,2.837609341877,AMO,"Otto Matic",2004-08-13,2017-05-01,,
"411611 (2011 QF14)",,Y,N,20200531.0000000,J2000,.4830655698399419,2.025455044803712,1.047027449400422,3.397371642600369,297.3256455459861,18.6,329.3173450235439,3.003882640207002,.3419165803468042,.081727,3.660,138.286180698725,1052.888396447034,2.88265132497477,AMO,"Otto Matic",1989-02-09,2018-04-14,0.358,0.415
"411655 (2011 WW4)",,Y,N,20200531.0000000,J2000,.4215838458821621,2.161982504878692,1.250525605741983,7.606962730234355,9.08292901023067,18.6,287.3261608192638,3.073439404015401,.3100457703174911,.239669,3.565,318.3762840459353,1161.118887806001,3.17897026093361,AMO,"Otto Matic",1995-08-01,2017-05-19,,
"412386 (2013 QK56)",,N,N,20200531.0000000,J2000,.03444928759848664,5.16688685813445,4.988891286769736,9.530238412289886,9.197459746812514,13.6,158.5980725456768,5.344882429499164,.0839190669175883,3.99429,2.971,22.40186859721345,4289.84750692633,11.7449623735149,TJN,"Otto Matic",2003-12-01,2019-04-03,,
"412394 (2013 TZ46)",,N,N,20200531.0000000,J2000,.06220347895871702,5.151593857130408,4.83114679703454,27.26010837103617,186.982338933821,13.9,198.7206027479752,5.472040917226274,.08429302682044834,3.8379,2.776,207.7071234435287,4270.815909444468,11.6928566993688,TJN,"Otto Matic",2001-10-21,2019-04-25,,
